year,month,period,entity,budget_revenue,budget_cogs,budget_opex,budget_ebitda
2024,1,2024-01,SHL,7500000.0,4350000.0,3800000,-650000.0
2024,1,2024-01,AQL,9020000.0,5863000.0,2900000,257000.0
2024,1,2024-01,GCL,1920000.0,576000.0,1600000,-256000.0
2024,2,2024-02,SHL,6250000.0,3625000.0,3800000,-1175000.0
2024,2,2024-02,AQL,8200000.0,5330000.0,2900000,-30000.0
2024,2,2024-02,GCL,1920000.0,576000.0,1600000,-256000.0
2024,3,2024-03,SHL,8750000.0,5075000.0,3800000,-125000.0
2024,3,2024-03,AQL,9840000.0,6396000.0,2900000,544000.0
2024,3,2024-03,GCL,2880000.0,864000.0,1600000,416000.0
2024,4,2024-04,SHL,11250000.0,6525000.0,3800000,925000.0
2024,4,2024-04,AQL,10660000.0,6929000.0,2900000,831000.0
2024,4,2024-04,GCL,3840000.0,1152000.0,1600000,1088000.0
2024,5,2024-05,SHL,13750000.0,7975000.0,3800000,1975000.0
2024,5,2024-05,AQL,9020000.0,5863000.0,2900000,257000.0
2024,5,2024-05,GCL,4800000.0,1440000.0,1600000,1760000.0
2024,6,2024-06,SHL,16250000.0,9425000.0,3800000,3025000.0
2024,6,2024-06,AQL,7380000.0,4797000.0,2900000,-317000.0
2024,6,2024-06,GCL,5760000.0,1728000.0,1600000,2432000.0
2024,7,2024-07,SHL,17500000.0,10150000.0,3800000,3550000.0
2024,7,2024-07,AQL,6560000.0,4264000.0,2900000,-604000.0
2024,7,2024-07,GCL,6720000.0,2016000.0,1600000,3104000.0
2024,8,2024-08,SHL,16250000.0,9425000.0,3800000,3025000.0
2024,8,2024-08,AQL,7380000.0,4797000.0,2900000,-317000.0
2024,8,2024-08,GCL,6720000.0,2016000.0,1600000,3104000.0
2024,9,2024-09,SHL,13750000.0,7975000.0,3800000,1975000.0
2024,9,2024-09,AQL,9020000.0,5863000.0,2900000,257000.0
2024,9,2024-09,GCL,5760000.0,1728000.0,1600000,2432000.0
2024,10,2024-10,SHL,11250000.0,6525000.0,3800000,925000.0
2024,10,2024-10,AQL,9840000.0,6396000.0,2900000,544000.0
2024,10,2024-10,GCL,4800000.0,1440000.0,1600000,1760000.0
2024,11,2024-11,SHL,10000000.0,5800000.0,3800000,400000.0
2024,11,2024-11,AQL,9020000.0,5863000.0,2900000,257000.0
2024,11,2024-11,GCL,3840000.0,1152000.0,1600000,1088000.0
2024,12,2024-12,SHL,16250000.0,9425000.0,3800000,3025000.0
2024,12,2024-12,AQL,8200000.0,5330000.0,2900000,-30000.0
2024,12,2024-12,GCL,3840000.0,1152000.0,1600000,1088000.0
2025,1,2025-01,SHL,7500000.0,4350000.0,3800000,-650000.0
2025,1,2025-01,AQL,9020000.0,5863000.0,2900000,257000.0
2025,1,2025-01,GCL,1920000.0,576000.0,1600000,-256000.0
2025,2,2025-02,SHL,6250000.0,3625000.0,3800000,-1175000.0
2025,2,2025-02,AQL,8200000.0,5330000.0,2900000,-30000.0
2025,2,2025-02,GCL,1920000.0,576000.0,1600000,-256000.0
2025,3,2025-03,SHL,8750000.0,5075000.0,3800000,-125000.0
2025,3,2025-03,AQL,9840000.0,6396000.0,2900000,544000.0
2025,3,2025-03,GCL,2880000.0,864000.0,1600000,416000.0
2025,4,2025-04,SHL,11250000.0,6525000.0,3800000,925000.0
2025,4,2025-04,AQL,10660000.0,6929000.0,2900000,831000.0
2025,4,2025-04,GCL,3840000.0,1152000.0,1600000,1088000.0
2025,5,2025-05,SHL,13750000.0,7975000.0,3800000,1975000.0
2025,5,2025-05,AQL,9020000.0,5863000.0,2900000,257000.0
2025,5,2025-05,GCL,4800000.0,1440000.0,1600000,1760000.0
2025,6,2025-06,SHL,16250000.0,9425000.0,3800000,3025000.0
2025,6,2025-06,AQL,7380000.0,4797000.0,2900000,-317000.0
2025,6,2025-06,GCL,5760000.0,1728000.0,1600000,2432000.0
2025,7,2025-07,SHL,17500000.0,10150000.0,3800000,3550000.0
2025,7,2025-07,AQL,6560000.0,4264000.0,2900000,-604000.0
2025,7,2025-07,GCL,6720000.0,2016000.0,1600000,3104000.0
2025,8,2025-08,SHL,16250000.0,9425000.0,3800000,3025000.0
2025,8,2025-08,AQL,7380000.0,4797000.0,2900000,-317000.0
2025,8,2025-08,GCL,6720000.0,2016000.0,1600000,3104000.0
2025,9,2025-09,SHL,13750000.0,7975000.0,3800000,1975000.0
2025,9,2025-09,AQL,9020000.0,5863000.0,2900000,257000.0
2025,9,2025-09,GCL,5760000.0,1728000.0,1600000,2432000.0
2025,10,2025-10,SHL,11250000.0,6525000.0,3800000,925000.0
2025,10,2025-10,AQL,9840000.0,6396000.0,2900000,544000.0
2025,10,2025-10,GCL,4800000.0,1440000.0,1600000,1760000.0
2025,11,2025-11,SHL,10000000.0,5800000.0,3800000,400000.0
2025,11,2025-11,AQL,9020000.0,5863000.0,2900000,257000.0
2025,11,2025-11,GCL,3840000.0,1152000.0,1600000,1088000.0
2025,12,2025-12,SHL,16250000.0,9425000.0,3800000,3025000.0
2025,12,2025-12,AQL,8200000.0,5330000.0,2900000,-30000.0
2025,12,2025-12,GCL,3840000.0,1152000.0,1600000,1088000.0
