period,entity,opening_balance,inflows,outflows,closing_balance,currency
2024-01,SHL,8500000.0,6947051.82,6106503.36,9340548.46,KES
2024-01,AQL,5200000.0,7851959.06,8470420.64,4581538.43,KES
2024-01,GCL,2100000.0,1504849.42,1203247.78,2401601.64,KES
2024-02,SHL,9340548.46,5208932.42,4833037.52,9716443.36,KES
2024-02,AQL,4581538.43,7001645.54,6601650.46,4981533.51,KES
2024-02,GCL,2401601.64,1501289.87,1156920.96,2745970.55,KES
2024-03,SHL,9716443.36,6692795.62,7133842.42,9275396.57,KES
2024-03,AQL,4981533.51,7852823.99,8652243.63,4182113.86,KES
2024-03,GCL,2745970.55,2323853.34,1584737.36,3485086.54,KES
2024-04,SHL,9275396.57,10065210.35,8514693.1,10825913.82,KES
2024-04,AQL,4182113.86,9205406.19,9573752.86,3813767.19,KES
2024-04,GCL,3485086.54,3392213.44,2418271.9,4459028.08,KES
2024-05,SHL,10825913.82,12339864.73,10191081.67,12974696.89,KES
2024-05,AQL,3813767.19,6804339.46,7682819.7,2935286.95,KES
2024-05,GCL,4459028.08,4173100.31,2441448.25,6190680.14,KES
2024-06,SHL,12974696.89,13800454.11,13228987.87,13546163.13,KES
2024-06,AQL,2935286.95,6023450.86,7099735.69,1859002.13,KES
2024-06,GCL,6190680.14,4433737.21,2948422.17,7675995.18,KES
2024-07,SHL,13546163.13,15689633.86,13907934.14,15327862.85,KES
2024-07,AQL,1859002.13,5828127.62,5832915.09,1854214.66,KES
2024-07,GCL,7675995.18,5364347.62,4123749.48,8916593.32,KES
2024-08,SHL,15327862.85,14805063.64,13532612.0,16600314.49,KES
2024-08,AQL,1854214.66,5929959.95,6810661.13,973513.48,KES
2024-08,GCL,8916593.32,5521411.9,3454943.03,10983062.18,KES
2024-09,SHL,16600314.49,12858064.58,9985974.58,19472404.49,KES
2024-09,AQL,973513.48,8495472.75,8042117.1,1426869.13,KES
2024-09,GCL,10983062.18,4526018.6,3316216.61,12192864.17,KES
2024-10,SHL,19472404.49,10418410.69,9449346.92,20441468.26,KES
2024-10,AQL,1426869.13,8979378.59,9227119.22,1179128.5,KES
2024-10,GCL,12192864.17,4268277.21,2965295.83,13495845.55,KES
2024-11,SHL,20441468.26,7989322.74,7935807.6,20494983.39,KES
2024-11,AQL,1179128.5,7154003.07,9101309.43,-768177.86,KES
2024-11,GCL,13495845.55,3611858.32,1946855.38,15160848.5,KES
2024-12,SHL,20494983.39,14493981.7,14247977.49,20740987.6,KES
2024-12,AQL,-768177.86,6435666.44,4717488.58,950000.0,KES
2024-12,GCL,15160848.5,3589476.91,1943976.23,16806349.18,KES
2025-01,SHL,20740987.6,6677053.01,5676787.57,21741253.04,KES
2025-01,AQL,950000.0,8447922.95,8097922.95,1300000.0,KES
2025-01,GCL,16806349.18,1806010.3,1087627.21,17524732.27,KES
2025-02,SHL,21741253.04,5774104.38,5383685.25,22131672.17,KES
2025-02,AQL,1300000.0,6667391.27,6167391.27,1800000.0,KES
2025-02,GCL,17524732.27,1450655.15,1119685.86,17855701.56,KES
2025-03,SHL,22131672.17,6955565.77,6327558.33,22759679.62,KES
2025-03,AQL,1800000.0,7514792.78,7114792.78,2200000.0,KES
2025-03,GCL,17855701.56,2353923.34,1730154.51,18479470.39,KES
2025-04,SHL,22759679.62,8564992.8,8553721.48,22770950.94,KES
2025-04,AQL,2200000.0,9146879.34,9346879.34,2000000.0,KES
2025-04,GCL,18479470.39,3122017.96,2254932.25,19346556.1,KES
2025-05,SHL,22770950.94,12770167.58,11243696.48,24297422.04,KES
2025-05,AQL,2000000.0,7175624.07,6775624.07,2400000.0,KES
2025-05,GCL,19346556.1,4442400.82,2421646.35,21367310.57,KES
2025-06,SHL,24297422.04,15054636.04,13018287.3,26333770.79,KES
2025-06,AQL,2400000.0,6934025.2,6534025.2,2800000.0,KES
2025-06,GCL,21367310.57,5481092.5,3165565.69,23682837.38,KES
2025-07,SHL,26333770.79,15828862.19,13595300.19,28567332.79,KES
2025-07,AQL,2800000.0,5549068.75,5849068.75,2500000.0,KES
2025-07,GCL,23682837.38,6224266.48,4275416.0,25631687.86,KES
2025-08,SHL,28567332.79,14701826.37,12673343.48,30595815.68,KES
2025-08,AQL,2500000.0,6154601.39,5654601.39,3000000.0,KES
2025-08,GCL,25631687.86,5353894.81,3472310.41,27513272.27,KES
2025-09,SHL,30595815.68,11279715.15,10380900.23,31494630.6,KES
2025-09,AQL,3000000.0,7292190.65,6992190.65,3300000.0,KES
2025-09,GCL,27513272.27,4357941.18,5903300.09,25967913.36,KES
2025-10,SHL,31494630.6,10681822.88,8795348.02,33381105.46,KES
2025-10,AQL,3300000.0,8131801.94,8331801.94,3100000.0,KES
2025-10,GCL,28967913.36,3804114.21,3031462.51,29740565.05,KES
2025-11,SHL,33381105.46,9084143.83,7172004.94,35293244.35,KES
2025-11,AQL,3100000.0,7515342.03,7015342.03,3600000.0,KES
2025-11,GCL,29740565.05,3612385.28,2171675.62,31181274.71,KES
2025-12,SHL,35293244.35,14188458.76,11895359.61,37586343.49,KES
2025-12,AQL,3600000.0,7791626.88,7291626.88,4100000.0,KES
2025-12,GCL,31181274.71,3610818.36,2267411.18,32524681.89,KES
