bill_ref,bill_date,entity,vendor,expense_category,account_code,account_name,amount_kes,currency,status
BILL/SHL/08001,2024-01-08,SHL,ClearBank Ltd,Payroll,70000001,Salaries & Wages,1287428.36,KES,Paid
BILL/SHL/08002,2024-01-30,SHL,ClearBank Ltd,Facilities,70000002,Rent & Utilities,508221.94,KES,Paid
BILL/SHL/08003,2024-01-01,SHL,SunPower Utilities,Logistics,70000003,Logistics & Transport,668718.01,KES,Outstanding
BILL/SHL/08004,2024-01-09,SHL,Nairobi Legal Partners,Maintenance,70000004,Repairs & Maintenance,331050.17,KES,Paid
BILL/SHL/08005,2024-01-18,SHL,Nairobi Legal Partners,Admin,70000006,Professional Fees,284027.49,KES,Paid
BILL/SHL/08006,2024-01-31,SHL,Apex Packaging Co,Admin,70000009,Insurance,193055.94,KES,Paid
BILL/SHL/08007,2024-01-11,SHL,TransRoute Logistics,Admin,70000010,Sundry Expenses,160698.63,KES,Outstanding
BILL/AQL/08008,2024-01-25,AQL,AquaFeed Suppliers,Payroll,70000001,Salaries & Wages,1202109.8,KES,Paid
BILL/AQL/08009,2024-01-08,AQL,Meridian Accountants,Facilities,70000002,Rent & Utilities,339993.8,KES,Paid
BILL/AQL/08010,2024-01-09,AQL,LakeView Processing,Logistics,70000003,Logistics & Transport,500330.71,KES,Paid
BILL/AQL/08011,2024-01-11,AQL,AquaFeed Suppliers,Maintenance,70000004,Repairs & Maintenance,241331.6,KES,Outstanding
BILL/AQL/08012,2024-01-23,AQL,EastAfrica Power,Admin,70000006,Professional Fees,217998.25,KES,Outstanding
BILL/AQL/08013,2024-01-26,AQL,LakeView Processing,Admin,70000009,Insurance,154127.52,KES,Paid
BILL/AQL/08014,2024-01-17,AQL,Meridian Accountants,Admin,70000010,Sundry Expenses,124291.13,KES,Outstanding
BILL/GCL/08015,2024-01-16,GCL,GreenSeed Nurseries,Payroll,70000001,Salaries & Wages,598600.32,KES,Paid
BILL/GCL/08016,2024-01-26,GCL,Solar Connect Ltd,Facilities,70000002,Rent & Utilities,206645.8,KES,Paid
BILL/GCL/08017,2024-01-31,GCL,Unity Bank,Logistics,70000003,Logistics & Transport,261748.85,KES,Paid
