reference,date,entity,account_code,account_name,category,description,debit,credit,currency,amount_kes
JNL/01014,2024-01-01,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,5038363.02,KES,5038363.02
JNL/01022,2024-01-01,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — LakeView Processing,211927.02,0.0,KES,211927.02
JNL/01025,2024-01-05,AQL,70000008,Depreciation,Depreciation,Depreciation — LakeView Processing,229553.98,0.0,KES,229553.98
JNL/01016,2024-01-09,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 01/2024,3250507.29,0.0,KES,3250507.29
JNL/01020,2024-01-10,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — EastAfrica Power,330563.46,0.0,KES,330563.46
JNL/01024,2024-01-15,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — EastAfrica Power,112279.51,0.0,KES,112279.51
JNL/01026,2024-01-15,AQL,70000009,Insurance,Admin,Insurance — ColdChain Express,154924.12,0.0,KES,154924.12
JNL/01015,2024-01-24,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3332485.88,KES,3332485.88
JNL/01019,2024-01-24,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — Harbour Finance,1084000.82,0.0,KES,1084000.82
JNL/01021,2024-01-25,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — EastAfrica Power,536012.93,0.0,KES,536012.93
JNL/01018,2024-01-29,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 01/2024,884675.29,0.0,KES,884675.29
JNL/01017,2024-01-31,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 01/2024,1396886.34,0.0,KES,1396886.34
JNL/01023,2024-01-31,AQL,70000006,Professional Fees,Admin,Professional Fees — ColdChain Express,192873.29,0.0,KES,192873.29
JNL/01056,2024-02-08,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3357066.86,KES,3357066.86
JNL/01059,2024-02-08,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 02/2024,741165.19,0.0,KES,741165.19
JNL/01067,2024-02-09,AQL,70000009,Insurance,Admin,Insurance — AquaFeed Suppliers,146485.82,0.0,KES,146485.82
JNL/01058,2024-02-12,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 02/2024,1200899.9,0.0,KES,1200899.9
JNL/01064,2024-02-12,AQL,70000006,Professional Fees,Admin,Professional Fees — AquaFeed Suppliers,219016.09,0.0,KES,219016.09
JNL/01066,2024-02-13,AQL,70000008,Depreciation,Depreciation,Depreciation — EastAfrica Power,219802.43,0.0,KES,219802.43
JNL/01063,2024-02-15,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — ColdChain Express,219268.71,0.0,KES,219268.71
JNL/01065,2024-02-15,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — AquaFeed Suppliers,112012.01,0.0,KES,112012.01
JNL/01060,2024-02-19,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — EastAfrica Power,981721.71,0.0,KES,981721.71
JNL/01057,2024-02-26,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 02/2024,3521796.91,0.0,KES,3521796.91
JNL/01062,2024-02-26,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — Harbour Finance,508053.49,0.0,KES,508053.49
JNL/01054,2024-02-28,AQL,31200001,Intercompany — Payable,Intercompany,Intercompany loan received — SHL,0.0,552739.87,KES,552739.87
JNL/01055,2024-02-29,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,5386212.14,KES,5386212.14
JNL/01061,2024-02-29,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — LakeView Processing,333411.59,0.0,KES,333411.59
JNL/01101,2024-03-01,AQL,70000003,Logistics & Transport,Logistics,Logistics & Transport — EastAfrica Power,472876.64,0.0,KES,472876.64
JNL/01094,2024-03-06,AQL,50000001,Revenue — Domestic Sales,Revenue,Domestic sales — FreshFish Nairobi,0.0,6273521.98,KES,6273521.98
JNL/01104,2024-03-06,AQL,70000007,Bank Charges & FX,Finance,Bank Charges & FX — Meridian Accountants,110831.67,0.0,KES,110831.67
JNL/01100,2024-03-08,AQL,70000002,Rent & Utilities,Facilities,Rent & Utilities — EastAfrica Power,308363.01,0.0,KES,308363.01
JNL/01103,2024-03-08,AQL,70000006,Professional Fees,Admin,Professional Fees — Meridian Accountants,209645.92,0.0,KES,209645.92
JNL/01096,2024-03-13,AQL,60000001,COGS — Raw Materials,COGS,COGS — Raw Materials — 03/2024,4087167.28,0.0,KES,4087167.28
JNL/01102,2024-03-13,AQL,70000004,Repairs & Maintenance,Maintenance,Repairs & Maintenance — Harbour Finance,205909.98,0.0,KES,205909.98
JNL/01099,2024-03-14,AQL,70000001,Salaries & Wages,Payroll,Salaries & Wages — AquaFeed Suppliers,1082836.05,0.0,KES,1082836.05
JNL/01105,2024-03-14,AQL,70000008,Depreciation,Depreciation,Depreciation — Harbour Finance,232477.22,0.0,KES,232477.22
JNL/01098,2024-03-15,AQL,60000003,COGS — Packaging,COGS,COGS — Packaging — 03/2024,964634.37,0.0,KES,964634.37
JNL/01106,2024-03-25,AQL,70000009,Insurance,Admin,Insurance — Harbour Finance,159183.31,0.0,KES,159183.31
JNL/01095,2024-03-26,AQL,50000002,Revenue — Export Sales,Revenue,Export/carbon revenue — Export Buyers Ltd,0.0,3993884.89,KES,3993884.89
JNL/01097,2024-03-29,AQL,60000002,COGS — Processing Labour,COGS,COGS — Processing Labour — 03/2024,1596619.0,0.0,KES,1596619.0
