invoice_ref,invoice_date,entity,customer,revenue_category,amount_kes,amount_usd,currency,status
INV/SHL/05001,2024-01-04,SHL,EuroHoney GmbH,Export,2564642.08,19283.02,USD,Paid
INV/SHL/05002,2024-01-25,SHL,NatureMart UK,Domestic,2507613.11,0.0,KES,Partial
INV/SHL/05003,2024-01-04,SHL,Organic Direct Ltd,Export,2338401.89,17581.97,USD,Outstanding
INV/AQL/05004,2024-01-02,AQL,Retail Net KE,Domestic,1663949.58,0.0,KES,Paid
INV/AQL/05005,2024-01-04,AQL,AquaPro Processors,Export,1682981.71,12654.0,USD,Partial
INV/AQL/05006,2024-01-30,AQL,AquaPro Processors,Export,1668240.31,12543.16,USD,Outstanding
INV/AQL/05007,2024-01-16,AQL,Hotel Chain East Africa,Domestic,1925048.89,0.0,KES,Partial
INV/AQL/05008,2024-01-11,AQL,Export Buyers Ltd,Export,1739110.23,13076.02,USD,Partial
INV/GCL/05009,2024-01-26,GCL,ESG Holdings Ltd,Carbon Credits,429063.48,0.0,KES,Partial
INV/GCL/05010,2024-01-30,GCL,Voluntary Carbon Exchange,Carbon Credits,534040.62,4015.34,USD,Paid
INV/GCL/05011,2024-01-31,GCL,ClimateBridge AG,Carbon Credits,524212.13,3941.44,USD,Paid
INV/GCL/05012,2024-01-08,GCL,Green Invest Fund,Carbon Credits,529277.06,0.0,KES,Paid
INV/SHL/05013,2024-02-29,SHL,Gulf Foods LLC,Export,998908.82,7510.59,USD,Paid
INV/SHL/05014,2024-02-09,SHL,EuroHoney GmbH,Domestic,822977.55,0.0,KES,Outstanding
INV/SHL/05015,2024-02-08,SHL,Gulf Foods LLC,Domestic,870623.29,0.0,KES,Paid
INV/SHL/05016,2024-02-27,SHL,Savanna Domestic Wholesale,Domestic,948193.96,0.0,KES,Partial
INV/SHL/05017,2024-02-07,SHL,EuroHoney GmbH,Domestic,934861.56,0.0,KES,Paid
INV/SHL/05018,2024-02-05,SHL,Organic Direct Ltd,Export,818691.98,6155.58,USD,Paid
INV/SHL/05019,2024-02-22,SHL,Gulf Foods LLC,Domestic,960535.67,0.0,KES,Partial
INV/AQL/05020,2024-02-23,AQL,Retail Net KE,Export,1276283.17,9596.11,USD,Paid
INV/AQL/05021,2024-02-14,AQL,Export Buyers Ltd,Domestic,1276078.84,0.0,KES,Partial
INV/AQL/05022,2024-02-14,AQL,Retail Net KE,Domestic,1378794.28,0.0,KES,Paid
INV/AQL/05023,2024-02-28,AQL,Hotel Chain East Africa,Domestic,1397150.97,0.0,KES,Paid
INV/AQL/05024,2024-02-09,AQL,FreshFish Nairobi,Export,1392934.94,10473.2,USD,Paid
INV/AQL/05025,2024-02-06,AQL,Export Buyers Ltd,Export,1232674.35,9268.23,USD,Paid
INV/GCL/05026,2024-02-19,GCL,ESG Holdings Ltd,Carbon Credits,348988.99,2623.98,USD,Partial
INV/GCL/05027,2024-02-16,GCL,CarbonMarket Partners,Carbon Credits,301998.08,0.0,KES,Paid
INV/GCL/05028,2024-02-02,GCL,ESG Holdings Ltd,Carbon Credits,291546.75,0.0,KES,Outstanding
INV/GCL/05029,2024-02-05,GCL,ClimateBridge AG,Carbon Credits,349855.85,0.0,KES,Paid
INV/GCL/05030,2024-02-19,GCL,Voluntary Carbon Exchange,Carbon Credits,354994.04,0.0,KES,Outstanding
INV/GCL/05031,2024-02-01,GCL,Green Invest Fund,Carbon Credits,347811.4,2615.12,USD,Paid
INV/SHL/05032,2024-03-18,SHL,Organic Direct Ltd,Domestic,2349995.94,0.0,KES,Paid
INV/SHL/05033,2024-03-12,SHL,Gulf Foods LLC,Domestic,2269002.04,0.0,KES,Outstanding
INV/SHL/05034,2024-03-05,SHL,Organic Direct Ltd,Domestic,2214200.12,0.0,KES,Outstanding
INV/SHL/05035,2024-03-12,SHL,Savanna Domestic Wholesale,Domestic,1970668.05,0.0,KES,Paid
INV/AQL/05036,2024-03-06,AQL,FreshFish Nairobi,Domestic,2405950.78,0.0,KES,Partial
INV/AQL/05037,2024-03-18,AQL,AquaPro Processors,Export,2384835.3,17931.09,USD,Paid
INV/AQL/05038,2024-03-07,AQL,Hotel Chain East Africa,Export,2318158.63,17429.76,USD,Paid
INV/AQL/05039,2024-03-07,AQL,Hotel Chain East Africa,Export,2591907.24,19488.02,USD,Paid
INV/GCL/05040,2024-03-27,GCL,ESG Holdings Ltd,Carbon Credits,719287.33,0.0,KES,Partial
INV/GCL/05041,2024-03-27,GCL,ESG Holdings Ltd,Carbon Credits,647604.79,0.0,KES,Partial
INV/GCL/05042,2024-03-29,GCL,Green Invest Fund,Carbon Credits,671647.66,0.0,KES,Paid
INV/GCL/05043,2024-03-22,GCL,CarbonMarket Partners,Carbon Credits,751667.11,0.0,KES,Outstanding
